#    L    TT             EE             TE             PP             TP          
   297   0.177592E+05   0.360562E+02   0.501953E+03   0.663591E+07   0.450870E+04
   298   0.176168E+05   0.367912E+02   0.503913E+03   0.660873E+07   0.447244E+04
   299   0.174741E+05   0.375323E+02   0.505711E+03   0.658170E+07   0.443633E+04
   300   0.173310E+05   0.382778E+02   0.507345E+03   0.655484E+07   0.440036E+04
   301   0.171875E+05   0.390292E+02   0.508819E+03   0.652814E+07   0.436451E+04
   302   0.170439E+05   0.397855E+02   0.510135E+03   0.650160E+07   0.432880E+04
   303   0.168999E+05   0.405473E+02   0.511278E+03   0.647522E+07   0.429321E+04
   304   0.167558E+05   0.413142E+02   0.512249E+03   0.644899E+07   0.425775E+04
   305   0.166115E+05   0.420845E+02   0.513063E+03   0.642292E+07   0.422241E+04
   306   0.164671E+05   0.428589E+02   0.513714E+03   0.639700E+07   0.418719E+04
   307   0.163226E+05   0.436369E+02   0.514194E+03   0.637123E+07   0.415210E+04
   308   0.161780E+05   0.444199E+02   0.514526E+03   0.634562E+07   0.411713E+04
   309   0.160335E+05   0.452046E+02   0.514682E+03   0.632015E+07   0.408228E+04
   310   0.158890E+05   0.459916E+02   0.514684E+03   0.629484E+07   0.404755E+04
   311   0.157446E+05   0.467829E+02   0.514518E+03   0.626967E+07   0.401295E+04
   312   0.156004E+05   0.475752E+02   0.514199E+03   0.624465E+07   0.397846E+04
   313   0.154563E+05   0.483697E+02   0.513714E+03   0.621978E+07   0.394409E+04
   314   0.153124E+05   0.491663E+02   0.513077E+03   0.619505E+07   0.390984E+04
   315   0.151687E+05   0.499632E+02   0.512274E+03   0.617046E+07   0.387570E+04
   316   0.150254E+05   0.507616E+02   0.511314E+03   0.614602E+07   0.384168E+04
   317   0.148823E+05   0.515599E+02   0.510197E+03   0.612172E+07   0.380778E+04
   318   0.147396E+05   0.523600E+02   0.508923E+03   0.609756E+07   0.377399E+04
   319   0.145973E+05   0.531595E+02   0.507493E+03   0.607353E+07   0.374032E+04
